Insertion Angle,noBV,mainBV,diff,allBV,diff
0,56.95,55.973,-1.72,57.251,0.53
1.5,51.781,50.971,-1.56,53.505,3.33
6.3,46.074,45.356,-1.56,46.335,0.57
16.2,42.43,41.57,-2.03,42.26,-0.40
28.1,43.492,42.882,-1.40,42.783,-1.63
42.9,60.757,59.358,-2.30,60.215,-0.89
58.7,91.911,91.79,-0.13,90.7,-1.32
75.9,145.66,143.94,-1.18,143.24,-1.66
95.5,238.57,234.78,-1.59,233.62,-2.07
118.1,288.85,286.25,-0.90,283.78,-1.76
143.4,189.16,186.41,-1.45,185.89,-1.73
172.5,114.18,113.44,-0.65,112.75,-1.25
208.1,69.819,69.045,-1.11,68.961,-1.23
246.7,38.813,38.271,-1.40,38.375,-1.13
298.1,32.843,31.033,-5.51,30.547,-6.99
346.4,27.583,26.105,-5.36,26.454,-4.09
388.1,26.301,26.056,-0.93,25.972,-1.25
433.1,31.407,31.646,0.76,31.828,1.34
478.1,34.833,34.749,-0.24,35.26,1.23
523.1,31.854,31.756,-0.31,32.054,0.63
568.1,28.057,28,-0.20,28.264,0.74
Average,,,-1.47,,-0.91
